Structure,File,Line,Text
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,813,*  Handle CPUID Configuration
CPUID,vmm_dispatcher/api_calls/tdh_sys_lp_init.c,150,"// TSX_CPUID_CLEAR forces CPUID(7,0).EBX bits 4 and 11 to 0."
CPUID,vmm_dispatcher/api_calls/tdh_sys_lp_init.c,152,"// It will be restored later, after we sample CPUID."
CPUID,vmm_dispatcher/api_calls/tdh_sys_lp_init.c,170,* Read CPUID leaf 0 to get the last base leaf number.
CPUID,vmm_dispatcher/api_calls/tdh_sys_lp_init.c,176,// Read CPUID leaf 0x80000000 to get the last extended leaf number
CPUID,vmm_dispatcher/api_calls/tdh_sys_lp_init.c,197,* CPUID is virtualized as 0 and there's no need to check vs. the valued sampled by TDH.SYS.INIT.
CPUID,vmm_dispatcher/api_calls/tdh_sys_lp_init.c,227,Special Handling of Selected CPUID Leaves/Sub-Leaves
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,310,* Sample and Check Native CPUID Values
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,324,global_data_ptr->xfd_faulting_mask = 0; // Updated later per CPUID leaf 0xD
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,325,global_data_ptr->x2apic_core_id_shift_count = 0;  // Updated later per CPUID leaf 0x1F
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,421,"TDX_ERROR(""CPUID 0x%x.0x%x doesn't match expected value!\n"","
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,443,"/* CPUID Leaf 1 is a special case.  The Stepping ID field, returned in RAX"
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,488,// get some CPUID values needed for later checks
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,708,CPUID leaf 1F is not supported.
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,741,According to the Intel SDM description of CPUID leaf 4:
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,810,"// Check that LA_BITS is compatible with LA57 from CPUID(7, 0).ECX[16]"
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,939,"// TSX_CPUID_CLEAR forces CPUID(7,0).EBX bits 4 and 11 to 0."
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,941,"// It will be restored later, after we sample CPUID."
CPUID,vmm_dispatcher/api_calls/tdh_sys_init.c,1232,Sample and Check Native CPUID Values
CPUID,vmm_dispatcher/api_calls/tdh_vp_init.c,62,// CPUID(1).EAX - returns Family/Model/Stepping in EAX - take the saved value by TDHSYSINIT
CPUID,common/data_structures/td_control_structures.h,264,"#define VIRT_CRYSTAL_CLOCK_FREQUENCY   25000000ULL // Nominal frequency of the core crystal clock in Hz, in CPUID(0x15).ECX = 25MHz"
CPUID,common/data_structures/td_control_structures.h,352,* @brief Virtual CPUID flags:  save searching CPUID_VALUES during MSR virtualization and TD entry/exit
CPUID,common/data_structures/td_control_structures.h,356,bool_t monitor_mwait_supported;    // virtual CPUID(0x1).ECX[3] (MONITOR)
CPUID,common/data_structures/td_control_structures.h,357,bool_t dca_supported;              // virtual CPUID(0x1).ECX[18]
CPUID,common/data_structures/td_control_structures.h,358,bool_t tsc_deadline_supported;     // virtual CPUID(0x1).ECX[24] (TSC Deadline)
CPUID,common/data_structures/td_control_structures.h,359,"bool_t tsx_supported;              // virtual CPUID(0x7, 0x0).EBX[4] && virtual CPUID(0x7, 0x0).EBX[11]"
CPUID,common/data_structures/td_control_structures.h,360,"bool_t waitpkg_supported;          // virtual CPUID(0x7, 0x0).ECX[5]"
CPUID,common/data_structures/td_control_structures.h,361,"bool_t tme_supported;              // virtual CPUID(0x7, 0x0).ECX[13]"
CPUID,common/data_structures/td_control_structures.h,362,"bool_t pconfig_supported;          // virtual CPUID(0x7, 0x0).EDX[18]"
